"","id","state","period","nth","date","url"
"80","bb_3_99","bb",3,99,2004-06-18,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w3/plpr/99.pdf"
"81","bb_4_1","bb",4,1,2004-10-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/1.pdf"
"82","bb_4_10","bb",4,10,2005-03-02,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/10.pdf"
"83","bb_4_11","bb",4,11,2005-03-03,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/11.pdf"
"84","bb_4_12","bb",4,12,2005-04-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/12.pdf"
"85","bb_4_13","bb",4,13,2005-04-14,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/13.pdf"
"86","bb_4_14","bb",4,14,2005-05-19,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/14teil2.pdf"
"87","bb_4_15","bb",4,15,2005-05-20,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/15.pdf"
"88","bb_4_16","bb",4,16,2005-06-08,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/16.pdf"
"89","bb_4_17","bb",4,17,2005-06-09,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/17.pdf"
"90","bb_4_18","bb",4,18,2005-08-31,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/18.pdf"
"91","bb_4_19","bb",4,19,2005-09-01,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/19.pdf"
"92","bb_4_2","bb",4,2,2004-10-27,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/2.pdf"
"93","bb_4_20","bb",4,20,2005-09-28,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/20.pdf"
"94","bb_4_21","bb",4,21,2005-11-09,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/21.pdf"
"95","bb_4_23","bb",4,23,2005-12-14,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/23.pdf"
"96","bb_4_24","bb",4,24,2005-12-15,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/24.pdf"
"97","bb_4_25","bb",4,25,2006-01-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/25.pdf"
"98","bb_4_26","bb",4,26,2006-01-26,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/26.pdf"
"99","bb_4_27","bb",4,27,2006-02-22,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/27.pdf"
"100","bb_4_28","bb",4,28,2006-02-23,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/28.pdf"
"101","bb_4_29","bb",4,29,2006-04-05,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/29.pdf"
"102","bb_4_3","bb",4,3,2004-10-28,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/3.pdf"
"103","bb_4_31","bb",4,31,2006-05-17,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/31.pdf"
"104","bb_4_32","bb",4,32,2006-05-18,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/32.pdf"
"105","bb_4_34","bb",4,34,2006-06-22,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/34.pdf"
"106","bb_4_35","bb",4,35,2006-09-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/35.pdf"
"107","bb_4_36","bb",4,36,2006-09-14,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/36.pdf"
"108","bb_4_37","bb",4,37,2006-05-22,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/37.pdf"
"109","bb_4_38","bb",4,38,2006-10-26,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/38.pdf"
"110","bb_4_39","bb",4,39,2006-11-22,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/39.pdf"
"111","bb_4_4","bb",4,4,2004-11-24,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/4.pdf"
"112","bb_4_40","bb",4,40,2006-11-23,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/40.pdf"
"113","bb_4_41","bb",4,41,2006-12-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/41.pdf"
"114","bb_4_42","bb",4,42,2006-12-15,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/42.pdf"
"115","bb_4_43","bb",4,43,2007-01-24,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/43.pdf"
"116","bb_4_44","bb",4,44,2007-01-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/44.pdf"
"117","bb_4_45","bb",4,45,2007-03-07,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/45.pdf"
"118","bb_4_47","bb",4,47,2007-04-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/47.pdf"
"119","bb_4_48","bb",4,48,2007-04-26,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/48.pdf"
"120","bb_4_49","bb",4,49,2007-06-06,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/49.pdf"
"121","bb_4_5","bb",4,5,2004-11-25,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/5.pdf"
"122","bb_4_50","bb",4,50,2007-06-07,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/50.pdf"
"123","bb_4_51","bb",4,51,2007-07-04,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/51.pdf"
"124","bb_4_52","bb",4,52,2007-07-05,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/52.pdf"
"125","bb_4_53","bb",4,53,2007-09-12,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/53.pdf"
"126","bb_4_54","bb",4,54,2007-09-13,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/54.pdf"
"127","bb_4_55","bb",4,55,2007-10-10,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/55.pdf"
"128","bb_4_56","bb",4,56,2007-10-11,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/56.pdf"
"129","bb_4_57","bb",4,57,2007-11-14,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/57.pdf"
"130","bb_4_58","bb",4,58,2007-11-15,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/58.pdf"
"131","bb_4_59","bb",4,59,2007-12-12,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/59.pdf"
"132","bb_4_6","bb",4,6,2004-12-15,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/6.pdf"
"133","bb_4_61","bb",4,61,2008-01-23,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/61.pdf"
"134","bb_4_62","bb",4,62,2008-01-24,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/62.pdf"
"135","bb_4_63","bb",4,63,2008-02-27,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/63.pdf"
"136","bb_4_64","bb",4,64,2008-02-28,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/64.pdf"
"137","bb_4_65","bb",4,65,2008-04-09,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/65.pdf"
"138","bb_4_66","bb",4,66,2008-04-10,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/66.pdf"
"139","bb_4_67","bb",4,67,2008-05-28,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/67.pdf"
"140","bb_4_68","bb",4,68,2008-05-29,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/68.pdf"
"141","bb_4_69","bb",4,69,2008-07-09,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/69.pdf"
"142","bb_4_7","bb",4,7,2004-12-16,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/7.pdf"
"143","bb_4_70","bb",4,70,2008-07-10,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/70.pdf"
"144","bb_4_71","bb",4,71,2008-09-17,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/71.pdf"
"145","bb_4_72","bb",4,72,2008-09-18,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/72.pdf"
"146","bb_4_73","bb",4,73,2008-10-15,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/73.pdf"
"147","bb_4_74","bb",4,74,2008-10-16,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/74.pdf"
"148","bb_4_75","bb",4,75,2008-11-19,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/75.pdf"
"149","bb_4_76","bb",4,76,2008-11-20,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/76.pdf"
"150","bb_4_77","bb",4,77,2008-12-17,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/77.pdf"
"151","bb_4_78","bb",4,78,2008-12-18,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/78.pdf"
"152","bb_4_79","bb",4,79,2009-01-21,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/79.pdf"
"153","bb_4_8","bb",4,8,2005-01-19,"https://www.parlamentsdokumentation.brandenburg.de/parladoku/w4/plpr/8.pdf"
