speaker,party,adjectives,text_preview,adjectives_str
Robert Lambrou,AfD,"['wichtig', 'wichtig', 'gut']"," Dafür hat er sich mehrfach 
entschuldigt!) 

Genau an diesem Punkt sieht man, dass Sie nicht der Anwalt 
der Menschen aus Russland sind, genauso wenig wie 
der Anwalt der Menschen, die unter der NS-Z","wichtig, wichtig, gut"
Lisa Deißler,FDP,['notwendig']," 

Sehr geehrte Frau Präsidentin, sehr geehrte Damen und 
Herren! Die Aktuelle Stunde zu den Betreuungsrelationen 
und dem Ausbau unbefristeter Beschäftigungsverhältnisse 
an Hochschulen ist grundsätz",notwendig
Gerald Kummer,SPD,"['fremder', 'illegale', 'humanitäre', 'gut']"," So ein Quatsch!) 

 Das stimmt, Sie müssen sich einmal damit befassen. 
 Den gleichzeitigen Ausstieg Deutschlands aus Kohle 
und Kernkraft bezeichnete das Wall Street Journal schon 
2019 zu Recht","fremder, illegale, humanitäre, gut"
Martina Feldmayer,GRUENE,"['humanitäre', 'falsch', 'gut', 'gut', 'wichtig']"," 

Frau Präsidentin, meine sehr verehrten Damen und Herren! 
Die FDP hat mit ihrem Antrag und ihrem Setzpunkt das 
Thema globale Ernährungssicherheit in Zeiten des Krieges 
angesprochen. 

Ich möchte ","humanitäre, falsch, gut, gut, wichtig"
Saadet Sönmez,LINKE,['notwendige']," 

Ich frage die Landesregierung: 

Welche medizinischen Gründe können vorliegen, die rechtfertigen, 
dass Familien mit minderjährigen Kindern entgegen 
dem § 47 AsylG und angesichts der lediglich not",notwendige
Herr Frömmrich,GRUENE,['gut']," 
Ohne e!) 

 ich habe das so gar nicht gesagt, nee, nee , ich nehme 
aus der Debatte mit: Wenn die GRÜNEN aus der Mitte des 
Hauses kritisiert werden, dann schadet das allen Parteien. 
Das ist da",gut
Dirk Bamberger,CDU,['gut']," 

Herr Präsident! Es fällt mir jetzt wirklich schwer, nach den 
beiden Wortbeiträgen zur eigentlichen Sache zu finden. Es 
gäbe so viele Dinge aufzuklären und deutlich zu machen; 
aber eines, Herr Li",gut
Ines Claus,CDU,"['sicher', 'integriert']"," 

Sehr geehrte Frau Präsidentin, meine Damen und Herren! 
Der Angriffskrieg Russlands auf die Ukraine hat die europäische 
Sicherheits- und Friedensarchitektur zerstört. Putin 
will mit seinem Krieg ","sicher, integriert"
Saadet Sönmez,LINKE,"['gute', 'sichere']"," 

Herr Präsident, meine Damen und Herren! Während Innenminister 
Beuth noch letzten Herbst anlässlich unseres Antrags 
für eine schnelle Aufnahme von Menschen aus Afghanistan 
davon sprach, die Lände","gute, sichere"
Sabine Waschke,SPD,"['wichtigen', 'wichtig', 'gut', 'abgelehnt']"," 

Sehr verehrter Herr Präsident, meine Damen und Herren! 
Der völkerrechtswidrige Angriffskrieg Russlands gegen 
die Ukraine ist grausam. Jeden Tag sehen wir Bilder von 
Menschen, die unter schreckli","wichtigen, wichtig, gut, abgelehnt"
Erich Heidkamp,AfD,['gute']," 

Ja.  Diese Aktuelle Stunde, dieser Aktionsplan ist erst das 
unverfängliche Deckblatt einer Rechnung für Deutschland 
von vielen Hunderten Milliarden Euro. Wir stimmen den 
Maßnahmen im Sinne der ",gute
Saadet Sönmez,LINKE,"['gut', 'wichtig', 'wichtige']"," Sönmez heißt die!) 

Die Laiendolmetscher bekommen 15  pro Stunde. Vielleicht 
lesen Sie das einmal nach oder verstehen es zunächst 
einmal, bevor Sie es hier ansprechen. Außerdem werden 
ihnen die ","gut, wichtig, wichtige"
Günter Rudolph,SPD,['humanitäre']," 

Herr Präsident, meine sehr verehrten Damen und Herren! 
An einer Stelle stimme ich ausdrücklich mit den Rednern 
von CDU und GRÜNEN überein. Wir stehen vor einer riesengroßen 
Herausforderung, die ",humanitäre
Torsten Felstehausen,LINKE,['guten']," Die vorher 
schon da waren!) 

 Nein, nein.  Da geht es bei Weitem nicht nur um Flüchtlingsunterkünfte 
und Impfzentren, wobei wir alle froh sein 
könnten, dass wir in Kassel-Calden diese Möglichke",guten
Günter Rudolph,SPD,['gescheitert']," Sie fahren ja nicht mit dem Zug! Daher wissen 
Sie nicht, wie das im Zug ist!) 

Aber wahrscheinlich hatten Sie die Bundesregierung mit 
der sogenannten Ampel vor Augen, die es fertigbrachte, 
innerh",gescheitert
"Gegenruf Jürgen 
Frömmrich",GRUENE,"['wichtig', 'sicher', 'sicher']"," Sie 
bleiben sauber!  Anhaltende Zurufe und Gegenrufe 
Jürgen Frömmrich (BÜNDNIS 90/DIE GRÜNEN) 
und Robert Lambrou (AfD)  Glockenzeichen) 

Weil wir beim Thema sind: 2017, als die Stadt Kassel 
de","wichtig, sicher, sicher"
Volker Richter,AfD,"['notwendige', 'falschen', 'sicher', 'wichtige']"," 

Sehr geehrte Frau Präsidentin, meine sehr verehrten Damen 
und Herren! 

#ichbinarmutsbetroffen  im reichen Hessen sind 
viele Menschen arm  jetzt muss die Hessische Landesregierung 
handeln! 

B","notwendige, falschen, sicher, wichtige"
Elisabeth Kula,LINKE,"['gute', 'falsch']"," 

Sehr geehrter Herr Präsident, meine Damen und Herren! 
Gute Laune ist nach solchen Reden immer ein bisschen 
schwierig. Ich versuche es, aber ich kann es nicht versprechen. 

Vor drei Jahren wurde ","gute, falsch"
Saadet Sönmez,LINKE,"['abgelehnt', 'humanitären']"," 

Frau Präsidentin, meine Damen und Herren! Gesundheit ist 
ein Menschenrecht. Das ist in der Hessischen Verfassung, 
im Grundgesetz und in der Menschenrechtscharta verankert. 
Leider genießt nicht j","abgelehnt, humanitären"
Saadet Sönmez,LINKE,"['problematisch', 'humanitären']"," Wissen Sie überhaupt, 
was Clearingstellen bedeuten?) 

Zur elektronischen Gesundheitskarte für Flüchtlinge ist zu 
sagen, dass diese Verwaltungsabläufe verbessern würde. 
Hier können wir uns den For","problematisch, humanitären"
Jan Schalauske,LINKE,['gut']," Die einen gegen die 
anderen ausspielen, das können Sie gut!) 

 Hören Sie doch zu.  Wir plädieren dafür, die vorhandenen 
Strukturen zu nutzen. Eventuell kann man sie verbessern. 
Die Aufklärungs-",gut
Norbert Bartelt,CDU,['abgelehnt']," 

Verehrte Frau Präsidentin, meine Damen und Herren! Der 
Zugang zur medizinischen Versorgung ist in Deutschland 
vorbildlich. Trotzdem gibt es in Deutschland etwa 80.000 
Menschen ohne Krankenversic",abgelehnt
Jan Schalauske,LINKE,['notwendige']," Die Gesundheitsversorgung 
für alle sicherstellen! Abgeblitzt!) 

Ich will an dieser Stelle  der Name ist heute leider noch 
gar nicht gefallen  ausdrücklich Gerhard Trabert nennen, 
der diesem The",notwendige
Robert Lambrou,AfD,"['guten', 'sicher']"," Wer zahlt das?) 

Es haben sich dort aber viele Kommunen gegen den Beitritt 
zu dieser Rahmenvereinbarung entschieden, sodass ein 
Flickenteppich der unterschiedlichen gesundheitlichen Versorgung 
As","guten, sicher"
Stephan Grüger,SPD,['guten']," Doch!) 

Es darf keinen Zweifel an der Verfassungstreue von Polizeibeamtinnen 
und Polizeibeamten in unserem Land geben. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU) 

Die überwiegende Mehrheit der Poli",guten
Volker Richter,AfD,"['gut', 'wichtig']"," Von uns übernommen wurde!) 

im Bewusstsein der Bürger und auch in der Landesregierung 
angekommen ist. Gerade im Rhein-Main-Gebiet weiten 
sich immer mehr No-go-Areas aus. Es ist nicht so, dass 
wir","gut, wichtig"
Frank Grobe,AfD,['gut']," In China dürfen sie das 
bauen!  René Rock (Freie Demokraten): Dann verhindern 
wir doch auch nichts!) 

Zurück bleibt der Frust derjenigen, die geglaubt haben, 
dass alles so bleiben kann wie bishe",gut
Andreas Lichert,AfD,"['wichtig', 'wichtig', 'abgelehnt', 'sicheren']"," Hört, hört!) 

Meine Damen und Herren, das alles hätte fortlaufend und 
mit immer besseren Tools erfolgen müssen. 

(Beifall AfD) 

Insofern kann es nur verwundern, wenn in dem Antrag 
der SPD eine a","wichtig, wichtig, abgelehnt, sicheren"
Frank Grobe,AfD,['legalen']," Sexskandal in 
Ihrer Fraktion!) 

Jetzt kommen wir zu dem Thema, welche Einnahmen 
und welche fachlichen Vorstellungen Sie haben. Sie sagen, 
Ihre Grunderwerbsteuersenkungsmaßnahme sei gegenzufi

nan",legalen
Robert Lambrou,AfD,"['illegale', 'radikale', 'qualifiziert', 'qualifizierte']"," 

Sehr geehrter Herr Präsident! Es geht heute Morgen um 
das sogenannte Chancen-Aufenthaltsrecht von Bundesinnenministerin 
Nancy Faeser, SPD. Der etwas infantile Name 
lässt das Gesetz zunächst weni","illegale, radikale, qualifiziert, qualifizierte"
Andreas Lichert,AfD,"['schutzbedürftig', 'illegale', 'radikale']"," Hört, hört!) 

Der innenpolitische Sprecher der Unions-Bundestagsfraktion, 
Alexander Throm, kritisiert, mit der neuen Regelung 
würde die Bundesregierung Menschen belohnen, die nicht 
verfolgt bzw.","schutzbedürftig, illegale, radikale"
Jürgen Frömmrich,GRUENE,"['radikal', 'illegale', 'illegalen', 'unkontrollierten', 'legal']"," 
Radikal sind Sie!) 

nein, Schwarz-Grün will zudem die Umsetzung noch viel 
früher haben und prescht vor, wie es die Frankfurter 
Rundschau zutreffend beschreibt. 

(Beifall AfD) 

Ministerpräside","radikal, illegale, illegalen, unkontrollierten, legal"
Robert Lambrou,AfD,['falschen']," Ich habe Argumente 
genannt!  Fortgesetzte Zurufe AfD) 

Wir müssen uns aber sachlich und menschlich mit dem 
Ganzen auseinandersetzen, und zwar, weil es immer um 
Menschen geht, aus welchen Gründen",falschen
Robert Lambrou,AfD,['illegale']," Setzen Sie sich mal mit der 
Sache auseinander!  Zurufe AfD: Oh, oh, oh!) 

Bei diesem Gesetzentwurf geht es nämlich gerade nicht um 
illegale Einwanderung. 

(",illegale
Robert Lambrou,AfD,"['gut', 'integrierten']"," Mit den Millionen, die nach 
Ihrer Regelung noch kommen werden? Jeder weiß, 
dass das so kommen muss!) 

Wir wollen vor allem auch gut integrierten Jugendlichen, 
jungen Menschen nach drei Jahren Auf","gut, integrierten"
Robert Lambrou,AfD,"['wichtigen', 'wichtig']"," Schauen Sie mal nach Kanada, 
USA und Australien! Die machen das völlig 
anders!) 

auch mit diesem Migrationspaket, das die Bundesregierung 
jetzt auf den Weg bringen wird, meine Damen und Herren. 
","wichtigen, wichtig"
Robert Lambrou,AfD,['wichtige']," Das ist in der Tat der Fall!) 

Es ist der wichtige erste Baustein für den Beginn einer 
neuen Migrationspolitik. 

(Beifall Freie Demokraten  ",wichtige
Saadet Sönmez,LINKE,['illegale']," 

Herr Präsident, meine Damen und Herren und im Speziellen 
die Damen und Herren der AfD! Herr Lambrou, jetzt 
hat man es Ihnen, glaube ich, viermal sachlich erklärt, wie 
die Situation ist und wie s",illegale
Robert Lambrou,AfD,['fremden']," Wie einst Franz Josef 
Strauß!) 

Ich möchte hier noch einmal deutlich machen: Polemisierungen 
gegenüber Fremden, die zum Ausdruck kommende 
Verachtung gegenüber Ausländern 

(",fremden
Robert Lambrou,AfD,"['notwendig', 'ausreisepflichtigen', 'sicher', 'falschen', 'illegale']"," Sie spalten!) 

Das Bundeskabinett hat am 6. Juli entschieden, dem Bundestag 
einen Gesetzentwurf zur Einführung eines sogenannten 
Chancen-Aufenthaltsrechts vorzulegen. Nach zutreffender 
Bewertung ","notwendig, ausreisepflichtigen, sicher, falschen, illegale"
Elisabeth Kula,LINKE,"['notwendige', 'wichtig']"," Das sehen die Beschäftigten 
ganz anders! Die ganze Arbeitsgruppe, 
toll! Immer, wenn ich nicht weiterweiß, gründe ich 
eine Arbeitsgruppe!) 

Der Aufsichtsrat beschäftigte sich auf seiner damals näc","notwendige, wichtig"
Klaus Gagel,AfD,"['sicher', 'gut', 'guten']"," 

Herr Präsident, verehrte Kolleginnen und Kollegen! Nach 
diesem Selbstlob-Werbeblock kehren wir mal wieder zurück 
zu den Tatsachen. Meine Damen und Herren, die Tragödie 
im Ahrtal vor einem Jahr l","sicher, gut, guten"
Torsten Felstehausen,LINKE,['gut']," 

Herr Präsident, meine Damen und Herren, liebe Vertreterinnen 
und Vertreter der Hilfsorganisationen! Ich möchte 
mich an dieser Stelle ausdrücklich bei der CDU bedanken, 
dass Sie diesen Punkt heut",gut
Günter Rudolph,SPD,['gut']," Macht doch nix!) 

 Wollen wir gleich einen Ältestenrat machen, Herr Kollege 
Rudolph, oder später erst?  Gut. 
Die Tagesordnungspunkte 79 und 87 sind damit besprochen. 
Tagesordnungspunkt 87 soll ",gut
Volker Richter,AfD,['massenhaften']," 

Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Würden Sie tatsächlich Flagge zeigen, müssten 
wir hier und heute nicht Ihre Politik der massenhaften 
Zuwanderung, Ihre Politi",massenhaften
Gerhard Schenk,AfD,['gut']," 

Frau Präsidentin, verehrte Damen und Herren! Also, Herr 
Minister Poseck, die Sondersitzung des Rechtsausschusses 
am vergangenen Freitag hat aus meiner Sicht keinen zusätzlichen 
Erkenntnisgewinn ",gut
Jan Schalauske,LINKE,['illegale']," Herr Kamerad, 
schauen Sie sich einmal an, was dann mit den Wohnungen 
passiert!) 

Diese Gesetze in Deutschland sind extrem mieterfreundlich, 
sie sind aus unserer Sicht sogar zu mieterfreundlich; 
",illegale
Holger Bellino,CDU,['illegalen']," Unerhört ist das! Das gehört 
doch nicht ins Parlament hinein!  Weitere Zurufe) 

Es wundert mich nicht, dass Sie in Ihrem Antrag versuchen, 
die ukrainischen Kriegsflüchtlinge einerseits und die 
i",illegalen
Andreas Lichert,AfD,['ausreisepflichtigen']," Richtig!) 

Schließlich der letzte und wichtigste Grund, aus dem die 
Ukrainer echte Flüchtlinge sind: Im Gegensatz zu den 
meisten männlichen afrikanischen und arabischen Wirtschaftsmigranten 
werde",ausreisepflichtigen
Marius Weiß,SPD,"['kriminellen', 'kriminellen']"," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! Ich bin 
von der Stimme her etwas angeschlagen, aber ich habe 
mich trotzdem gemeldet. Denn das, was wir hier mit der 
AfD die ganze Woche schon er","kriminellen, kriminellen"
Jan Schalauske,LINKE,['illegale']," Reden Sie jetzt 
zum Thema!) 

unter anderem auch dazu, was die Migration, die illegale 
Migration angeht. Und wenn wir die Wahrheit ansprechen, 

(René Rock (Freie Demokraten): Die Wahrheit?) 

reag",illegale
Frank Grobe,AfD,"['gut', 'integrierte', 'gut']"," 

Hausdurchsuchungen bei Impfgegnern, Kontosperrungen 
bei kritischen Journalisten sind an der Tagesordnung, und 
eine Partei wie die AfD wird nach wie vor ihrer Rechte im 
Bundestag und in den Landt","gut, integrierte, gut"
Felix Martin,GRUENE,['notwendigen']," 

Vielen Dank.  Ich frage die Landesregierung: 

Wie wirken sich die hessischen Förderprojekte des Programms 
REACT-EU auf eine nachhaltige Arbeitsmarktpolitik 
aus? 

Vizepräsident Frank Lortz: 

H",notwendigen
Moritz Promny,FDP,"['gut', 'gut']"," Hört, hört!) 

Nun gibt es also in ganz Hessen 22  von ungefähr 2.000 

 pädagogisch selbstständige Schulen. Einzelne Schulen 
dürfen jetzt etwas freiere Wege gehen, z. B. Ziffernnoten 
oder Hausau","gut, gut"
Heiko Scholz,AfD,['sicher']," Jetzt ist aber 
Schluss! Ein bisschen ruhiger!) 

Wir schlagen Ihnen daher eine Alternative vor. 

(Zurufe) 

 Könnte ich ein bisschen Ruhe haben?  Danke schön. 
 Wir schlagen Ihnen daher eine Alt",sicher
Robert Lambrou,AfD,"['gut', 'gut', 'gut']"," Natürlich sind wir Demokraten!) 

 Ja, Sie sind demokratisch gewählt. Sehr geehrte Damen 
und Herren, das heißt aber noch lange nicht, dass Sie Demokraten 
sind. Das ist nämlich ein absoluter Unters","gut, gut, gut"
Eva Goldbach,GRUENE,"['guten', 'gut', 'gut', 'gut', 'gute']"," 

Sehr geehrte Frau Präsidentin, verehrte Kolleginnen und 
Kollegen! Wir reden im Hessischen Landtag immer wieder 
über Ehrenamt und den Brand-und Katastrophenschutz. 
Das hat einen guten Grund. Wir ","guten, gut, gut, gut, gute"
Jürgen Frömmrich,GRUENE,"['gut', 'guten']"," 
Das sehen wir!) 

um die Vermutung des Kollegen Hahn richtigzustellen. Es 
ist so gewesen, dass es eine Anfrage der dpa an alle Fraktionen 
gab. Daraufhin ist bei uns in der Fraktion die Idee 
entst","gut, guten"
"Gegenruf Andreas 
Lichert",AfD,"['illegaler', 'krimineller', 'falsch', 'kriminelle']"," Das gehört zur Realität! Das 
muss man zur Kenntnis nehmen!  Weitere Zurufe) 

 Ich rede dazu.  Die Verwaltungsgerichtsbarkeit wird, 
drehtürartig durch alle Instanzen, mit Millionen Asylverfahren","illegaler, krimineller, falsch, kriminelle"
Robert Lambrou,AfD,"['gut', 'qualifizierte']"," Wo sind denn die Millionen 
Einwanderer seit 2015?) 

 Ich habe erwartet, dass Sie vonseiten der AfD etwas 
hereinrufen würden.  Damit Hessen fit für die Zukunft ist, 
brauchen wir mehr gut qualifi","gut, qualifizierte"
Saadet Sönmez,LINKE,['notwendig']," 

Herr Präsident, meine Damen und Herren! Frau Dorn, 
Sie haben gesagt, dass die Novellierung des Berufsqualifikationsfeststellungsgesetzes 
zur Beschleunigung beitragen 
soll. Sie haben aber auch ge",notwendig
Frank Grobe,AfD,"['qualifizierte', 'qualifizierte', 'qualifizierten', 'qualifizierte']"," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und Herren 
Abgeordnete! Die Landesregierung will ausländische 
Personen zügiger in den deutschen Arbeitsmarkt integrieren. 
Für uns kann dies aber ","qualifizierte, qualifizierte, qualifizierten, qualifizierte"
Frank Steinraths,CDU,['qualifizierten']," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und Herren, 
werte Kolleginnen und Kollegen! Der Fachkräftemangel 
stellt die Wirtschaft und die Gesellschaft vor große 
Herausforderungen. Laut Bun",qualifizierten
Daniela Sommer,SPD,['wichtig']," 

Herr Präsident, liebe Kolleginnen und Kollegen! Schon 
heute profitiert Deutschland  und damit auch Hessen  
aus Sicht von Ökonomen von seinen Einwanderern. Der 
Arbeitsmarkt ist verstärkt auf si",wichtig
Lisa Deißler,FDP,"['qualifiziert', 'notwendig']"," 

Sehr geehrter Herr Präsident, sehr geehrte Damen und Herren! 
Ich kenne eine weißrussische Lehrerin, und ich kenne 
eine amerikanische Juristin. Die Lehrerin arbeitet heute als 
Küchenhilfe. Die Ju","qualifiziert, notwendig"
Stephan Grüger,SPD,['gut']," Wenn wir im Hessischen Landtag über 
Hessen reden würden!  Zurufe DIE LINKE  Glockenzeichen) 

Jetzt haben Sie eingefordert, dass wir die Punkte, die wir 
im letzten Plenum besprochen haben, hier n",gut
Marius Weiß,SPD,['gut']," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! Zu Beginn 
der Haushaltsberatungen gehört es sich, einen Blick 
auf die wirtschaftlichen Rahmenbedingungen zu werfen, in 
denen man politisch agier",gut
Moritz Promny,FDP,"['gut', 'gute', 'gut', 'gut', 'wichtigen']"," Ei, ei, ei!) 

Genau diesen Kurs können Sie dem vorgelegten Haushaltsentwurf 
für die kommenden Jahre entnehmen. 

(Beifall BÜNDNIS 90/DIE GRÜNEN und CDU) 

Liebe Kolleginnen und Kollegen, die heutig","gut, gute, gut, gut, wichtigen"
Jan Schalauske,LINKE,['notwendig']," Alles 
klar!) 

Positiv zu sehen ist, dass unseren Forderungen aus den 
Haushaltsberatungen der vergangenen Jahre nach mehr 
Lehrern, mehr Polizisten und mehr Richtern entsprochen 
wurde. Aber hier s",notwendig
Klaus Gagel,AfD,['gescheitert']," 

Herr Präsident, sehr verehrte Kolleginnen und Kollegen! 
Der Ministerpräsident hat mit dem 24. Februar eine Zeitenwende 
verkündet. Ja, meine Damen und Herren, es ist richtig: 
Es ist eine politisc",gescheitert
Erich Vohl,AfD,['wichtig']," Aber nicht die kommunalen 
Verbände!) 

Lediglich die Kommunalen Spitzenverbände waren skeptisch, 
aber die Gegenargumente waren vor allem materieller 
Art: Eine Ausweitung des kommunalen Wahlrechts ",wichtig
Volker Richter,AfD,['falsch']," 

Sehr geehrte Frau Präsidentin, meine sehr verehrten Damen 
und Herren! Der Tod der jungen Frau im Iran wird 
von allen in diesem Haus bedauert. Wir müssen das zum 
Anlass nehmen, das Regime im Iran",falsch
Volker Richter,AfD,"['humanitäre', 'gescheitert']"," 

Sehr geehrter Herr Präsident, meine sehr verehrten Damen 
und Herren! Ein jeder mit dem Herz am richtigen Fleck 
wird helfen wollen, wenn ihm Not und Elend begegnen. 
Nur kann man leider nicht jede","humanitäre, gescheitert"
Robert Lambrou,AfD,"['gut', 'integrierte', 'qualifizierte', 'notwendig', 'illegalen', 'gut', 'integrierte']"," Nein, genau das Gegenteil! 
Riesiger Pull-Faktor!) 

Es ist der Aufschlag für einen umfassenderen Paradigmenwechsel 
in der Migrationspolitik. Gut integrierte Menschen 
werden damit zukünftig leichte","gut, integrierte, qualifizierte, notwendig, illegalen, gut, integrierte"
Marcus Bocklet,GRUENE,"['humanitären', 'humanitäre']"," 

Herr Präsident, meine sehr verehrten Kolleginnen und Kollegen! 
Vor rund einem Jahr haben sich die amerikanische 
Armee und die verbündeten Alliierten überstürzt aus Afghanistan 
zurückgezogen. Das","humanitären, humanitäre"
Marcus Bocklet,GRUENE,['sicher']," 
Das war den Bundesländern nicht erlaubt!) 

Mit großer Sorge blickten wir alle im letzten August nach 
Afghanistan  das war schon letztes Jahr, lieber Marcus , 
ein Land, welches sich seit der Inv",sicher
Max Schad,CDU,"['wichtig', 'humanitäre']"," 

Frau Präsidentin, liebe Kolleginnen und Kollegen! CDU 
und BÜNDNIS 90/DIE GRÜNEN haben im aktuellen Koalitionsvertrag 
vereinbart, ein Landesaufnahmeprogramm 
für eine Gruppe Schutzsuchender mit ho","wichtig, humanitäre"
Robert Lambrou,AfD,['gut']," Wie lösen Sie das denn 
jetzt?) 

Gleichzeitig sind Fragen der Kostenerstattung noch nicht 
ausreichend geklärt. In diesem Zusammenhang war das, 
was Innenministerin Faeser beim Flüchtlingsgipfel vor",gut
Robert Lambrou,AfD,['humanitäre']," Das erkennen wir auch an! 
Aber wie viele Millionen wollen Sie denn noch aufnehmen?) 

Ich finde es sehr bedauerlich, dass Sie das nicht können. 

(Beifall BÜNDNIS 90/DIE GRÜNEN) 

Jeden Tag verlasse",humanitäre
Claudia Ravensburg,CDU,"['wichtig', 'notwendig']"," Wer hat denn das Programm gestrichen?) 

Wir haben ein ganz wichtiges Thema heute zu diskutieren, 
weil es hochaktuell ist, weil es die Erzieherinnen, die Erzieher, 
die Eltern und die Kinder in unse","wichtig, notwendig"
Marcus Bocklet,GRUENE,"['notwendig', 'notwendig']"," 
Schießbefehl!) 

und sagt: Wir sind uns alle selbst genug. Wir denken nur 
noch an uns, nach dem Motto: Germany first, wie wir es 
aus Amerika kennen. 

Für uns ist dieses Land ein weltoffenes Lan","notwendig, notwendig"
Robert Lambrou,AfD,"['gut', 'qualifizierte', 'gut', 'qualifizierte']"," 

Vielen Dank, Herr Rock für die Zulassung der Frage.  
Meine Frage lautet wie folgt: Wie erklären Sie sich, dass 
gerade gut qualifizierte Menschen, die in andere Länder 
gehen wollen, um Deutschla","gut, qualifizierte, gut, qualifizierte"
Christiane Böhm,LINKE,"['sicher', 'gut', 'gut']"," 

Ja.  Wir brauchen die Fortsetzung des Bundesprogramms 
Sprach-Kitas, aber als LINKE erwarten wir natürlich auch 
mehr Engagement der Landesregierung für die Fachkräftegewinnung 
statt bunter Bildc","sicher, gut, gut"
Andreas Lichert,AfD,['falsche']," Sie, die Parlamentarier, 
nicht die Justiz!) 

Ich bin empört darüber, dass Sie bewusst falsche Aussagen 
machen und Kausalitäten herstellen, die es nicht gibt. 
Erstens werden die Asylverfahren nich",falsche
Robert Lambrou,AfD,['abgelehnten']," Das bestreiten wir nicht! 
Das hat Andreas Lichert auch klar gesagt!) 

Das zeigt sich doch gerade daran, dass die Feinde der 
Demokratie, die hier im Parlament sitzen, Rechtsschutz erhalten, 
dass d",abgelehnten
Frank Grobe,AfD,['illegal']," 

Ja.  Schließlich waren Sie es doch selbst, die vor nicht 
langer Zeit bei einer Podiumsdiskussion gesagt haben, dass 
DIE LINKE keine Arbeiterpartei, sondern die Partei der 
Studenten sei. Seien S",illegal
Stefan Naas,FDP,['gute']," 

Herr Präsident, meine sehr verehrten Damen und Herren! 
Wir werden diesem Gesetzentwurf zustimmen. Ich hatte 
das schon bei der ersten Lesung prognostiziert. Wir werden 
uns über das Archivgesetz n",gute
Marcus Bocklet,GRUENE,['wichtig']," 

Herr Präsident, meine sehr verehrten Damen und Herren, 
liebe Kolleginnen und Kollegen! Am 30. Oktober 1961 
und schon davor, 1955, gab es mit Italien, Griechenland, 
Spanien und später mit der Tür",wichtig
Saadet Sönmez,LINKE,['gut']," 

Herr Präsident, meine Damen und Herren! Herr Pürsün, 
es sind hehre Ziele, die Sie hier formuliert haben. Im 
Gegensatz zu Herrn Bocklet finde ich es nicht unbedingt 
schlecht oder schlimm, wenn ma",gut
Torsten Felstehausen,LINKE,"['gut', 'abgelehnt']"," Schon gut, das nehmen wir auch!) 

 Ja, auch liebe Genossinnen und Genossen.  Die Landesregierung 
schreibt Leitlinien, Symbolpolitik in ein Gesetz. 
Daran schließt sich aber nur selten eine aktive","gut, abgelehnt"
Jan Schalauske,LINKE,"['problematisch', 'wichtig', 'gut', 'gut']"," 

Herr Präsident, meine Damen und Herren! In der ersten 
Lesung zum vorliegenden Gesetzentwurf zur sozialen 
Wohnraumförderung  das ist schon einige Monate her 

 haben damals sowohl Herr Staatsmin","problematisch, wichtig, gut, gut"
Jan Schalauske,LINKE,['gut']," 

Ich möchte den Abg. Torsten Felstehausen bis 12:30 Uhr 
entschuldigen. 

Vizepräsident Frank Lortz: 

Gut, der Abg. Torsten Felstehausen ist bis 12:30 Uhr entschuldigt. 
Gibt es noch mehr Entschuld",gut
Tobias Utter,CDU,['humanitäre']," 

Sehr geehrter Herr Landtagspräsident, sehr geehrte Damen 
und Herren! Ein schriftliches Dokument kann gelesen, verstanden 
und ausgelegt werden. Jede Auslegung wird aber 
dem Inhalt nicht gerecht, ",humanitäre
"Gegenruf 
Robert Lambrou",AfD,"['gut', 'gut']"," Ich habe leider nicht die 
Zeit, den ganzen Brief vorzulesen!  Weitere Zurufe 
 Glockenzeichen) 
Die Bürgermeister richten sich natürlich an die Spitze der 
Regierung. Das ist auch der richtige Weg","gut, gut"
Saadet Sönmez,LINKE,"['wichtig', 'gut']"," 

Herr Präsident, meine Damen und Herren! Die AfD möchte 
die aktuelle Flüchtlingssituation zur Chefsache machen 
und fordert dazu auf, die Hilferufe der Wetterauer Gemeinden 
ernst zu nehmen. Ja, di","wichtig, gut"
Marcus Bocklet,GRUENE,['wichtig']," 

Vielen Dank, Herr Präsident. Gerade bei einem so sensiblen 
Redner wie mir ist es besonders wichtig, noch einmal 
darauf hinzuweisen. 

Ich wollte Ihnen sagen, dass natürlich auch mit Unwahrheiten ",wichtig
Robert Lambrou,AfD,['humanitäre']," Sie sind 
in fünf Minuten nicht auf den Brief eingegangen!) 

Vizepräsident Frank Lortz: 

Vielen Dank, Kollege Bocklet.  Ich habe jetzt keine weiteren 
Wortmeldungen außer der des Vertreters der La",humanitäre
Heiko Scholz,AfD,['falsche']," 

Sehr geehrter Herr Präsident, verehrte Damen und Herren, 
liebe Besucher auf der Tribüne! Ja, Kinder, denen regelmäßig 
vorgelesen wird, verfügen über einen deutlich höheren 
Wortschatz als Gleicha",falsche
