speaker,party,adjectives,text_preview,adjectives_str
Dimitri Schulz,AfD,['sicheren']," Schwachsinn!) 

Das Motiv dieses Gleichnisses ist bei uns aufgenommen in 
der rechtlichen Idee von der unterlassenen Hilfeleistung. 
Ich bin überzeugt, dass es in unserer Gesellschaft ein tiefes 
Wis",sicheren
Saadet Sönmez,LINKE,"['sichere', 'notwendige', 'notwendige']"," Das hat nichts mit 
Gleichsetzung zu tun!) 

Ebenso dramatisch ist es natürlich, wenn man einer Fraktion 
vorwirft  Herr Richter, ich muss dies sagen , dass sie 
das Leid der Menschen als Geschäft","sichere, notwendige, notwendige"
Volker Richter,AfD,"['humanitäre', 'wichtig']"," 

Ich will es gar nicht so lange machen, sehr geehrter Herr 
Präsident.  Sehr geehrter Herr Hering, wenn es in dieser 
Debatte eine Entgleisung gab, dann war das eben Ihre Aussage 
mit den Rattenfä","humanitäre, wichtig"
Janine Wissler,LINKE,"['notwendig', 'problematische']"," Das ist schon pathologisch! 
Wir haben so wenige Lehrer, weil die Ausländer 
die Lehrer wegnehmen!) 

Nicht etwa die Homogenisierung der ohnehin von vielen 
Studenten überschrittenen Regelstudienzeit","notwendig, problematische"
Daniel May,GRUENE,"['humanitäre', 'gute']"," 

Sehr geehrter Herr Präsident, werte Kolleginnen und Kollegen! 
Lieber Kollege Schäfer-Gümbel, bevor ich mich 
weiter den Einzelheiten der hessischen Schulpolitik widme, 
ist es meiner Fraktion und ","humanitäre, gute"
Heiko Scholz,AfD,"['guten', 'gut', 'wichtigen']"," 

Sehr geehrte Frau Präsidentin, meine Damen und Herren! 
Sehr geehrter Herr Staatsminister, der heutigen Regierungserklärung 
habe ich mit sehr großem Interesse und 
sehr gespannt entgegengesehen, d","guten, gut, wichtigen"
Frank Grobe,AfD,"['qualifizierten', 'illegal']"," 

Sehr geehrter Präsident, sehr geehrte Damen und Herren 
Abgeordnete! Fangen wir damit an, was begrüßenswert an 
diesem Gesetzentwurf ist; denn das ist schnell abgehandelt. 

Positiv ist, dass die W","qualifizierten, illegal"
Taylan Burcu,GRUENE,"['integriert', 'wichtige']"," 

Ich frage die Landesregierung: 

Wie unterstützt sie ältere Geflüchtete, die keine Ausbildung 
mehr aufnehmen können, bei ihrer Integration in den Arbeitsmarkt? 

Antwort Kai Klose, Minister für So","integriert, wichtige"
Jürgen Lenders,FDP,['abgelehnt']," Quatsch!) 

Nur deshalb hat ihn das hessische Sozialministerium abgelehnt. 
Rechtlich nicht zulässig heißt, dass die Regelung 
auf der Bestimmung im Sozialgesetzbuch beruht, in der 
nur Ehegatten a",abgelehnt
Jan Schalauske,LINKE,"['gut', 'gut']"," 

Frau Präsidentin, meine Damen und Herren! In der Debatte 
ist gesagt worden, man solle auf die Stimmen von Verbänden 
und von Experten hören. Ja, das finde ich völlig richtig. 
Wir haben in den ver","gut, gut"
